城市,位置,id,属性,阵营,,,,,
咸阳,20,1001,北方,燕地,,,,,
咸阳,20,1001,北方,燕地,,,,,
咸阳,20,1001,北方,燕地,,,,,
咸阳,20,1001,北方,燕地,,,,,
咸阳,20,1001,北方,燕地,,,,,
咸阳,20,1001,北方,燕地,,,,,
咸阳,20,1001,北方,燕地,,,,,
咸阳,20,1001,北方,燕地,,,,,
咸阳,20,1001,北方,燕地,,,,,
咸阳,20,1001,北方,燕地,,,,,
咸阳,20,1001,北方,燕地,,,,,
咸阳,20,1001,北方,燕地,,,,,
咸阳,20,1001,北方,燕地,,,,,
咸阳,20,1001,北方,燕地,,,,,
咸阳,20,1001,北方,燕地,,,,,zhege wo shu
咸阳,20,1001,北方,燕地,,,,,但是我可以用面向过程鞋码
咸阳,20,1001,北方,燕地,,,,,1
咸阳,20,1001,北方,燕地,,,,,这个我可熟了
咸阳,20,1001,北方,燕地,,,,,最终是写成json还是类成员呀
咸阳,20,1001,北方,燕地,,,,,那就json
,,,,,,,,,好捏
,,,,,,,,,懂捏
,,,,,,,,,嫩牛
,,,,,,,,,哈哈哈
,,,,,,,,,和 领导一起喝茶
,,,,,,,,,886
